station,time,schools,tech,traffic,comb_score
EAST BROADWAY,8,0,0,8265.5,0.0187270068527
BRIGHTON BEACH,12,0,0,8255.5,0.0187043500179
167 ST,4,0,0,8239.83333335,0.01866885431
110 ST,16,0,0,8228.0,0.018642043722
86 ST,0,0,0,8207.75,0.0185961636314
57 ST-7 AV,8,0,0,8169.0,0.0185083683964
ASTORIA DITMARS,16,0,0,8117.0,0.0183905528551
ASTORIA BLVD,12,0,0,8060.5,0.0182625417381
90 ST-ELMHURST,16,0,0,8021.25,0.0181736136613
59 ST,0,0,0,8015.0,0.0181594531395
BRIGHTON BEACH,16,0,0,7996.0,0.0181164051533
170 ST,16,0,0,7993.0,0.0181096081028
HALSEY ST,16,0,0,7818.625,0.017714529545
DELANCEY/ESSEX,0,0,0,7812.125,0.0176998026023
BAY PKWY,16,0,0,7805.625,0.0176850756597
MYRTLE AV,12,0,0,7793.0625,0.0176566130109
CHURCH AV,20,0,0,7791.5,0.0176530728804
CENTRAL PK N110,12,0,0,7786.0,0.0176406116213
30 AV,16,0,0,7782.5,0.0176326817291
110 ST,8,0,0,7705.5,0.0174582241006
ASTORIA BLVD,8,0,0,7647.5,0.0173268144585
SOUTH FERRY,4,0,2,1871.25,0.0171428860295
GRAND-NEWTOWN,16,0,0,7559.0,0.01712630147
111 ST,4,0,0,7487.5,0.0169643051007
PROSPECT AV,12,0,0,7438.875,0.0168541362412
BAY PKWY,4,0,0,7359.375,0.0166740144041
111 ST,16,0,0,7355.125,0.0166643852493
18 AV,12,0,0,7321.75,0.0165887680629
GRAHAM AV,12,0,0,7294.5,0.0165270281879
STEINWAY ST,8,0,0,7260.75,0.0164505613703
METROPOLITAN AV,20,0,0,7136.25,0.0161684837763
FLUSHING AV,12,0,0,7021.875,0.0159093462276
MORGAN AV,12,0,0,7014.0,0.0158915039701
175 ST,12,0,0,6951.0,0.0157487659105
SUTPHIN-ARCHER,4,0,0,6933.5,0.0157091164495
MYRTLE AV,8,0,0,6906.5625,0.0156480846006
90 ST-ELMHURST,4,0,0,6850.5,0.0155210647202
AVENUE U,8,0,0,6846.375,0.0155117187758
CENTRAL PK N110,16,0,0,6746.5,0.0152854336377
JEFFERSON ST,16,0,0,6737.0,0.0152639096445
BROADWAY JCT,12,0,0,6634.5,0.0150316770872
CENTRAL PK N110,8,0,0,6561.0,0.014865149351
ASTORIA BLVD,16,0,0,6556.0,0.0148538209336
WOODHAVEN BLVD,4,0,0,6486.875,0.0146972055626
AVENUE U,12,0,0,6486.125,0.0146955063
PARKCHESTER,16,0,0,6458.625,0.0146332000042
PELHAM PKWY,12,0,0,6425.0,0.0145570163969
ROCKAWAY AV,12,0,0,6408.86469781,0.0145204589092
SOUTH FERRY,0,0,2,698.625,0.0144860889318
96 ST,0,0,0,6381.5,0.0144584591653
SHEEPSHEAD BAY,12,0,0,6339.25,0.014362734038
FOREST HILLS 71,20,0,0,6308.375,0.0142927810604
BAY RIDGE AV,8,0,0,6298.0,0.0142692745942
JEFFERSON ST,12,0,0,6293.5,0.0142590790185
175 ST,8,0,0,6266.5,0.0141979055644
8 AV,4,0,0,6251.375,0.0141636371017
PROSPECT AV,8,0,0,6245.5,0.0141503262112
METS-WILLETS PT,12,0,0,6235.9375,0.0141286606129
ELMHURST AV,16,0,0,6233.5,0.0141231380094
FT HAMILTON PKY,12,0,0,6227.0,0.0141084110667
MORGAN AV,16,0,0,6222.0,0.0140970826493
157 ST,12,0,0,6187.0,0.0140177837273
PARKCHESTER,4,0,0,6179.75,0.014001357522
BROADWAY JCT,8,0,0,6176.0,0.0139928612089
170 ST,4,0,0,6161.25,0.0139594423775
SHEEPSHEAD BAY,8,0,0,6151.5,0.0139373519635
ROCKAWAY AV,8,0,0,6110.67788462,0.0138448619709
FLUSHING AV,16,0,0,6068.18851825,0.0137485945152
SIMPSON ST,12,0,0,6064.25,0.0137396710794
BRIGHTON BEACH,8,0,0,6050.0,0.0137073850897
MYRTLE AV,16,0,0,6045.875,0.0136980391453
JAMAICA 179 ST,16,0,0,6042.0,0.0136892596218
CANARSIE-ROCKAW,12,0,0,6025.375,0.0136515926339
BAY RIDGE AV,12,0,0,6008.5,0.0136133592251
JAMAICA 179 ST,4,0,0,5967.5,0.0135204662021
PROSPECT AV,16,0,0,5932.75,0.013441733701
FT HAMILTON PKY,8,0,0,5895.5,0.0133573369912
MONTROSE AV,12,0,0,5810.5,0.0131647538949
EUCLID AV,8,0,0,5772.5,0.0130786579224
GRAHAM AV,8,0,0,5754.0,0.0130367427779
KEW GARDENS,4,0,0,5687.4375,0.0128859332209
GRAHAM AV,16,0,0,5677.0,0.0128622851495
GREENPOINT AV,12,0,0,5618.0,0.0127286098238
STEINWAY ST,20,0,0,5613.0,0.0127172814064
PELHAM PKWY,16,0,0,5606.125,0.0127017048324
4AV-9 ST,12,0,0,5587.5,0.0126595064775
EUCLID AV,12,0,0,5526.5,0.0125212997849
HUNTS POINT AV,12,0,0,5522.75,0.0125128034718
METROPOLITAN AV,8,0,0,5503.0,0.0124680562229
61 ST WOODSIDE,4,0,0,5487.625,0.0124332213393
18 AV,16,0,0,5456.875,0.0123635515721
GUN HILL RD,12,0,0,5427.625,0.0122972803302
167 ST,20,0,0,5427.5,0.0122969971197
157 ST,8,0,0,5417.5,0.0122743402849
CANARSIE-ROCKAW,8,0,0,5346.25,0.0121129103365
UTICA AV,20,0,0,5342.35,0.0121040741709
BROADWAY JCT,16,0,0,5314.5,0.0120409748858
NASSAU ST,16,0,0,5305.5,0.0120205837345
71 ST,8,0,0,5262.5,0.0119231593446
175 ST,16,0,0,5254.0,0.0119039010349
181 ST,20,0,0,5197.825,0.0117766262651
HALSEY ST,20,0,0,5174.875,0.0117246288291
169 ST,12,0,0,5144.5,0.0116558086932
GREENPOINT AV,16,0,0,5132.5,0.0116286204914
FOREST HILLS 71,4,0,0,5128.5,0.0116195577575
67 AV,8,0,0,5125.0,0.0116116278653
CANARSIE-ROCKAW,16,0,0,5085.875,0.0115229829989
MONTROSE AV,16,0,0,5062.0,0.0114688898057
4AV-9 ST,16,0,0,5041.5,0.0114224432942
JUNCTION BLVD,20,0,0,5033.5,0.0114043178263
KINGS HWY,4,0,0,5031.875,0.0114006360906
PELHAM BAY PARK,16,0,0,5010.5,0.0113522071061
SHEEPSHEAD BAY,16,0,0,5000.25,0.0113289838504
UTICA AV,4,0,0,4994.125,0.011315106539
PELHAM PKWY,8,0,0,4977.05989094,0.0112764424033
DELANCEY/ESSEX,4,0,0,4960.625,0.0112392061423
FLUSHING AV,8,0,0,4954.75,0.0112258952518
EAST BROADWAY,20,0,0,4942.5,0.0111981406291
36 ST,4,0,0,4928.375,0.0111661378498
MORGAN AV,8,0,0,4907.0,0.0111177088653
67 AV,12,0,0,4898.0,0.011097317714
CONEY IS-STILLW,4,0,0,4889.875,0.0110789090356
SIMPSON ST,8,0,0,4869.0,0.0110316128929
HUNTS POINT AV,8,0,0,4865.75,0.0110242494215
61 ST WOODSIDE,20,0,0,4865.5,0.0110236830007
BROADWAY,20,0,0,4863.625,0.0110194348441
169 ST,8,0,0,4814.0,0.0109070003011
AVENUE U,16,0,0,4805.75,0.0108883084124
36 ST,20,0,0,4788.76498423,0.0108498257426
FT HAMILTON PKY,16,0,0,4788.125,0.0108483757409
SIMPSON ST,16,0,0,4744.75,0.0107501017197
ROCKAWAY AV,16,0,0,4740.17651099,0.0107397396412
JEFFERSON ST,8,0,0,4735.5,0.0107291441475
181 ST,4,0,0,4726.85,0.0107095459854
GATES AV,12,0,0,4704.0,0.0106577751177
191 ST,12,0,0,4703.5,0.010656642276
GUN HILL RD,8,0,0,4659.5,0.0105569522026
GRAND-NEWTOWN,4,0,0,4632.5,0.0104957787485
157 ST,16,0,0,4624.0,0.0104765204388
KINGSTON-THROOP,12,0,0,4610.0,0.01044480087
MONTROSE AV,8,0,0,4567.0,0.0103473764801
82 ST-JACKSON H,20,0,0,4525.0,0.0102522177737
JKSN HT-ROOSVLT,0,0,0,4509.5,0.0102170996797
20 AV,8,0,0,4496.125,0.0101867961631
KEW GARDENS,20,0,0,4485.1875,0.0101620152499
GUN HILL RD,16,0,0,4480.5,0.0101513948586
HOWARD BCH JFK,12,0,0,4440.875,0.0100616171505
HALSEY ST,4,0,0,4414.375,0.0100015765381
NASSAU ST,12,0,0,4408.5,0.00998826564761
WOODLAWN,12,0,0,4318.0,0.00978322129214
191 ST,8,0,0,4287.5,0.00971411794582
WOODLAWN,16,0,0,4271.5,0.00967786701004
MORGAN AV,20,0,0,4263.0,0.00965860870041
53 ST,8,0,0,4248.5,0.00962575628987
111 ST,20,0,0,4240.375,0.00960734761154
170 ST,20,0,0,4237.875,0.00960168340283
HOWARD BCH JFK,16,0,0,4235.75,0.00959686882542
52 ST,12,0,0,4234.5,0.00959403672107
GATES AV,8,0,0,4233.875,0.00959262066889
ASTORIA DITMARS,20,0,0,4224.0,0.00957024704446
NORTHERN BLVD,12,0,0,4214.875,0.00954957268265
53 ST,12,0,0,4197.0,0.00950907359034
VAN SICLEN AV,8,0,0,4190.125,0.00949349701638
KINGSTON-THROOP,8,0,0,4187.0,0.00948641675548
63 DR-REGO PARK,20,0,0,4165.5,0.00943770456054
5 AV/59 ST,8,0,0,4165.25,0.00943713813967
9 AV,8,0,0,4161.125,0.00942779219529
ELDER AV,8,0,0,4159.75,0.00942467688049
MORISN AV/SNDVW,8,0,0,4158.5,0.00942184477614
52 ST,8,0,0,4154.625,0.00941306525263
HUNTS POINT AV,16,0,0,4128.375,0.00935359106112
ELDER AV,12,0,0,4111.875,0.00931620728361
BAY RIDGE AV,16,0,0,4106.0,0.00930289639313
CANARSIE-ROCKAW,4,0,0,4048.25,0.00917205317182
SUTTER AV-RUTLD,12,0,0,4037.5,0.00914769707434
MORISN AV/SNDVW,12,0,0,4035.0,0.00914203286563
RALPH AV,12,0,0,4030.0,0.0091307044482
82 ST-JACKSON H,4,0,0,4025.5,0.00912050887251
30 AV,20,0,0,4000.0,0.00906273394362
EUCLID AV,16,0,0,3997.0,0.00905593689316
VAN SICLEN AV,12,0,0,3953.5,0.00895737966153
169 ST,16,0,0,3946.0,0.00894038703538
KINGS HWY,20,0,0,3938.625,0.00892367761967
CASTLE HILL AV,12,0,0,3938.0,0.00892226156749
ELMHURST AV,4,0,0,3935.0,0.00891546451704
PARSONS BLVD,12,0,0,3933.5,0.00891206599181
GREENPOINT AV,8,0,0,3921.5,0.00888487778998
JEFFERSON ST,20,0,0,3918.0,0.00887694789778
9TH STREET,16,0,0,3897.85033069,0.00883129512477
4AV-9 ST,8,0,0,3896.5,0.00882823570283
110 ST,20,0,0,3872.0,0.00877272645742
20 AV,12,0,0,3865.125,0.00875714988346
PELHAM BAY PARK,12,0,0,3849.0,0.00872061573725
AVENUE U,4,0,0,3829.875,0.00867728454058
174 ST,12,0,0,3824.375,0.00866482328141
NEW UTRECHT AV,8,0,0,3823.94736842,0.0086638544036
69 ST,12,0,0,3821.4375,0.00865816783617
25 AV,8,0,0,3808.3353131,0.00862848242768
18 AV,4,0,0,3800.0,0.00860959724644
79 ST,4,0,0,3778.875,0.0085617346828
MYRTLE AV,20,0,0,3777.25,0.00855805294713
W 8 ST-AQUARIUM,16,0,0,3738.0,0.00846912487031
69 ST,8,0,0,3720.15,0.00842868242009
PARSONS BLVD,8,0,0,3709.5,0.00840455289096
9 AV,12,0,0,3708.0,0.00840115436574
BROADWAY JCT,20,0,0,3706.5,0.00839775584051
GRANT AV,12,0,0,3701.5,0.00838642742308
KOSCIUSZKO ST,12,0,0,3699.625,0.00838217926654
50 ST,4,0,0,3694.0,0.00836943479693
74 ST-BROADWAY,16,0,0,3693.0,0.00836716911345
77 ST,4,0,0,3670.125,0.00831534160371
ROCKAWAY BLVD,12,0,0,3663.75,0.00830089787148
SUTTER AV-RUTLD,8,0,0,3646.0,0.00826068198961
90 ST-ELMHURST,20,0,0,3642.5,0.00825275209741
NEW UTRECHT AV,12,0,0,3640.40970909,0.0082480161598
NORTHERN BLVD,8,0,0,3640.25,0.00824765430957
MONTROSE AV,20,0,0,3629.5,0.00822329821209
15 ST-PROSPECT,12,0,0,3604.4539169,0.00816655171523
7 AV,4,0,0,3583.25,0.00811851035087
9TH STREET,20,0,0,3580.70896846,0.00811275317766
JAMAICA 179 ST,20,0,0,3573.0,0.00809528709514
190 ST,12,0,0,3542.5,0.00802618374882
GATES AV,16,0,0,3526.875,0.00799078244435
KOSCIUSZKO ST,8,0,0,3525.375,0.00798738391912
METROPOLITAN AV,0,0,0,3518.375,0.00797152413472
CENTRAL PK N110,20,0,0,3516.5,0.00796727597819
GRAHAM AV,20,0,0,3512.0,0.0079570804025
JACKSON AV,12,0,0,3506.875,0.00794546877463
V.CORTLANDT PK,12,0,0,3500.3125,0.00793060022676
RALPH AV,8,0,0,3494.0,0.00791629809975
GRANT AV,8,0,0,3487.70869084,0.00790204398448
WOODLAWN,8,0,0,3485.0,0.00789590694838
74 ST-BROADWAY,12,0,0,3474.5,0.00787211727178
ALLERTON AV,12,0,0,3467.875,0.00785710711868
BAY PKWY,20,0,0,3461.0,0.00784153054472
AQUEDUCT RACETR,16,0,0,3451.5,0.0078200065516
HUNTS POINT AV,4,0,0,3442.0,0.00779848255849
7 AV,0,0,0,3439.75,0.00779338477064
ASTORIA BLVD,20,0,0,3435.0,0.00778262277408
71 ST,12,0,0,3412.0,0.00773051205391
CONEY IS-STILLW,0,0,0,3368.625,0.00763223803271
25 AV,12,0,0,3354.625,0.0076005184639
PARKCHESTER,20,0,0,3351.5,0.00759343820301
191 ST,16,0,0,3347.5,0.00758437546907
BROADWAY,4,0,0,3344.125,0.0075767287873
ROCKAWAY AV,4,0,0,3325.74107142,0.00753507662392
NASSAU ST,8,0,0,3317.0,0.00751527212275
PELHAM PKWY,4,0,0,3315.75,0.00751244001839
KINGSTON-THROOP,16,0,0,3306.5,0.00749148244615
FLUSHING-MAIN,0,0,0,3298.0,0.00747222413651
CASTLE HILL AV,8,0,0,3296.0,0.00746769276954
15 ST-PROSPECT,16,0,0,3295.375,0.00746627671736
MYRTLE AV,4,0,0,3286.125,0.00744531914512
SMITH-9 ST,8,0,0,3272.0,0.00741331636588
GRAND-NEWTOWN,20,0,0,3266.0,0.00739972226497
FLUSHING AV,20,0,0,3253.625,0.00737168443183
174 ST,8,0,0,3244.0,0.00734987722828
EUCLID AV,4,0,0,3238.0,0.00733628312736
163 ST-AMSTERDM,12,0,0,3237.125,0.00733430065431
GUN HILL RD,4,0,0,3213.5,0.00728077388196
233 ST,12,0,0,3211.875,0.00727709214629
WESTCHESTER SQ,12,0,0,3197.0,0.00724339010444
SMITH-9 ST,12,0,0,3190.25,0.00722809674091
FREEMAN ST,12,0,0,3183.6875,0.00721322819303
45 ST,12,0,0,3181.0,0.00720713916866
ALLERTON AV,8,0,0,3177.375,0.00719892606603
SHEEPSHEAD BAY,4,0,0,3161.375,0.00716267513025
ROCKAWAY BLVD,8,0,0,3151.21179437,0.00713964852308
ROCKAWAY BLVD,16,0,0,3145.25,0.00712614098404
NASSAU ST,20,0,0,3135.0,0.00710291772831
VAN SICLEN AV,16,0,0,3133.0,0.00709838636134
PROSPECT AV,20,0,0,3113.125,0.00705335590206
77 ST,0,0,0,3110.875,0.00704825811421
GRAND ST,0,0,0,3109.5,0.00704514279942
BROADWAY JCT,4,0,0,3108.0,0.00704174427419
RALPH AV,16,0,0,3102.75,0.00702984943589
CRESCENT ST,8,0,0,3100.75,0.00702531806892
4AV-9 ST,20,0,0,3098.0,0.00701908743933
UNION ST,16,0,0,3092.0,0.00700549333842
V.CORTLANDT PK,8,0,0,3089.625,0.00700011234014
67 AV,16,0,0,3081.0,0.00698057082007
CANARSIE-ROCKAW,20,0,0,3074.125,0.00696499424611
52 ST,16,0,0,3058.875,0.00693044257295
PROSPECT AV,4,0,0,3045.125,0.00689928942502
ELDER AV,4,0,0,3030.5,0.00686615380404
NORTHERN BLVD,16,0,0,3018.6505867,0.006839306784
UNION ST,12,0,0,3007.5,0.00681404308386
174 ST,16,0,0,3003.75,0.00680554677079
163 ST-AMSTERDM,8,0,0,2990.75,0.00677609288547
PELHAM PKWY,20,0,0,2976.5,0.0067438068958
53 ST,16,0,0,2967.0,0.00672228290268
PELHAM BAY PARK,20,0,0,2965.5,0.00671888437745
GREENPOINT AV,20,0,0,2964.0,0.00671548585222
45 ST,8,0,0,2952.5,0.00668943049213
69 ST,16,0,0,2948.7375,0.00668090585802
METS-WILLETS PT,0,0,0,2941.25,0.00666394155292
57 ST-7 AV,0,0,0,2935.0,0.00664978103113
E 149 ST,12,0,0,2933.75,0.00664694892677
GUN HILL RD,20,0,0,2922.0,0.00662032714581
CRESCENT ST,12,0,0,2921.375,0.00661891109364
BRIGHTON BEACH,20,0,0,2914.5,0.00660333451967
FREEMAN ST,8,0,0,2907.375,0.00658719152483
FRESH POND RD,8,0,0,2896.25,0.00656198579605
ROCKAWAY AV,20,0,0,2886.32759751,0.0065395047726
WOODLAWN,20,0,0,2885.0,0.00653649685684
FAR ROCKAWAY,12,0,0,2862.5,0.0064855189784
30 AV,4,0,0,2850.5,0.00645833077657
MORISN AV/SNDVW,4,0,0,2849.0,0.00645493225134
ST LAWRENCE AV,8,0,0,2840.5,0.00643567394171
SUTTER AV-RUTLD,16,0,0,2840.0,0.00643454109997
ASTORIA DITMARS,4,0,0,2836.5,0.00642661120777
WAKEFIELD/241,8,0,0,2835.0,0.00642321268254
SIMPSON ST,4,0,0,2831.375,0.0064149995799
E 149 ST,8,0,0,2819.625,0.00638837779895
FRESH POND RD,12,0,0,2800.75,0.00634561302315
WAKEFIELD/241,12,0,0,2793.3295129,0.00632880054806
ELDER AV,16,0,0,2788.0,0.0063167255587
JACKSON AV,8,0,0,2778.875,0.00629605119689
PELHAM BAY PARK,8,0,0,2777.0,0.00629180304036
MORISN AV/SNDVW,16,0,0,2769.5,0.00627481041421
KOSCIUSZKO ST,16,0,0,2747.75,0.0062255317984
JACKSON AV,16,0,0,2731.0,0.00618758160001
W 8 ST-AQUARIUM,12,0,0,2718.5,0.00615926055643
BRIARWOOD,8,0,0,2699.0,0.00611507972846
VAN SICLEN AV,4,0,0,2694.125,0.00610403452146
15 ST-PROSPECT,8,0,0,2692.24304185,0.00609977059996
WAKEFIELD/241,16,0,0,2690.0,0.00609468857708
NEW LOTS AV,12,0,0,2689.0,0.0060924228936
GRANT AV,16,0,0,2685.0,0.00608336015966
233 ST,8,0,0,2681.26999122,0.00607490914035
V.CORTLANDT PK,16,0,0,2679.0,0.00606976605874
85 ST-FOREST PK,8,0,0,2676.0,0.00606296900828
SUTPHIN-ARCHER,0,0,0,2665.5,0.00603917933168
SHEEPSHEAD BAY,20,0,0,2664.79166666,0.00603757447254
HOWARD BCH JFK,8,0,0,2662.71201644,0.00603286264337
63 DR-REGO PARK,4,0,0,2660.0,0.00602671807251
ALLERTON AV,16,0,0,2638.125,0.00597715624625
190 ST,8,0,0,2634.0,0.00596781030187
NECK RD,8,0,0,2631.5,0.00596214609316
225 ST,12,0,0,2629.875,0.00595846435749
PARSONS BLVD,16,0,0,2629.0,0.00595648188444
110 ST,4,0,0,2617.5,0.00593042652436
175 ST,20,0,0,2603.5,0.00589870695555
BRIGHTON BEACH,4,0,0,2601.0,0.00589304274684
SUTTER AV,12,0,0,2575.5,0.00583526781795
BAY RIDGE-95 ST,8,0,0,2565.5,0.00581261098309
169 ST,4,0,0,2548.5,0.00577409436383
233 ST,16,0,0,2547.25,0.00577126225947
65 ST,8,0,0,2545.125,0.00576644768206
BRIARWOOD,12,0,0,2540.5,0.00575596889594
20 AV,16,0,0,2540.25,0.00575540247507
4 AV-9 ST,16,0,0,2539.0,0.00575257037071
JAMAICA VAN WK,12,0,0,2537.75,0.00574973826636
65 ST,12,0,0,2534.5,0.00574237479503
FAR ROCKAWAY,16,0,0,2528.0,0.00572764785237
25 AV,4,0,0,2525.625,0.00572226685409
FAR ROCKAWAY,8,0,0,2525.5,0.00572198364365
CASTLE HILL AV,16,0,0,2523.0,0.00571631943494
BEVERLY RD,12,0,0,2512.5,0.00569252975834
GRAND ST,4,0,0,2512.5,0.00569252975834
SMITH-9 ST,16,0,0,2506.0,0.00567780281568
9TH STREET,12,0,0,2498.59924275,0.00566103504219
4 AV-9 ST,12,0,0,2495.0,0.00565288029733
BAY RIDGE-95 ST,12,0,0,2485.0,0.00563022346247
225 ST,8,0,0,2483.625,0.00562710814768
SIMPSON ST,20,0,0,2478.0,0.00561436367807
NEW LOTS AV,8,0,0,2476.0,0.0056098323111
EUCLID AV,20,0,0,2463.5,0.00558151126753
190 ST,16,0,0,2461.5,0.00557697990056
KNICKERBOCKER,12,0,0,2450.4375,0.00555191577699
157 ST,4,0,0,2440.125,0.00552855091604
157 ST,20,0,0,2429.875,0.00550532766031
ELMHURST AV,20,0,0,2422.0,0.00548748540286
GRANT AV,4,0,0,2412.0,0.005464828568
HOWARD BCH JFK,20,0,0,2405.28877791,0.00544962306294
BEVERLY RD,8,0,0,2403.0,0.00544443741663
75 ST-ELDERTS,8,0,0,2401.5,0.0054410388914
NEW UTRECHT AV,16,0,0,2398.875,0.00543509147225
CRESCENT ST,4,0,0,2384.25,0.00540195585127
WESTCHESTER SQ,8,0,0,2380.0,0.00539232669645
CHAUNCEY ST,12,0,0,2379.25,0.00539062743384
ST LAWRENCE AV,12,0,0,2370.5,0.00537080270334
SUTPHIN BLVD,12,0,0,2346.5,0.00531642629968
163 ST-AMSTERDM,16,0,0,2332.5,0.00528470673087
18 AV,20,0,0,2324.625,0.00526686447342
80 ST,8,0,0,2322.375,0.00526176668558
CHAUNCEY ST,8,0,0,2319.875,0.00525610247686
HUNTS POINT AV,20,0,0,2317.25,0.00525015505771
FT HAMILTON PKY,4,0,0,2311.5,0.00523712737767
71 ST,4,0,0,2310.0,0.00523372885244
CYPRESS AV,12,0,0,2308.71609711,0.00523081993488
74 ST-BROADWAY,20,0,0,2303.5,0.00521900190978
BAY RIDGE AV,4,0,0,2303.0,0.00521786906804
METROPOLITAN AV,4,0,0,2297.0,0.00520427496712
OCEAN PKWY,12,0,0,2292.5,0.00519407939144
SUTTER AV,8,0,0,2291.25,0.00519124728708
ASTORIA BLVD,4,0,0,2268.0,0.00513857014603
175 ST,4,0,0,2268.0,0.00513857014603
AVENUE M,12,0,0,2267.5,0.00513743730429
JAMAICA VAN WK,8,0,0,2265.5,0.00513290593732
79 ST,0,0,0,2264.875,0.00513148988514
ROCKAWAY BLVD,4,0,0,2264.625,0.00513092346427
80 ST,12,0,0,2259.25,0.00511874541553
NEW UTRECHT AV,4,0,0,2252.0,0.00510231921026
STEINWAY ST,0,0,0,2244.5,0.00508532658411
FREEMAN ST,16,0,0,2241.4375,0.00507838792844
45 ST,16,0,0,2238.5,0.0050717324832
9TH STREET,0,0,0,2236.49585063,0.00506719171507
25 AV,16,0,0,2233.125,0.00505955443446
9 AV,16,0,0,2228.625,0.00504935885878
PARSONS BLVD,4,0,0,2218.5,0.00502641881348
25 ST,12,0,0,2217.0,0.00502302028825
WAKEFIELD/241,4,0,0,2203.375,0.00499215035076
NORWOOD AV,8,0,0,2188.715625,0.0049589368469
104 ST,8,0,0,2178.5,0.00493579147404
WOODHAVEN BLVD,0,0,0,2158.375,0.00489019459389
74 ST-BROADWAY,8,0,0,2155.0,0.00488254791213
CRESCENT ST,16,0,0,2154.25,0.00488084864951
SUTTER AV,16,0,0,2154.25,0.00488084864951
SUTPHIN BLVD,8,0,0,2150.375,0.004872069126
FT HAMILTON PKY,20,0,0,2144.5,0.00485875823552
NEW LOTS AV,16,0,0,2135.0,0.00483723424241
CLEVELAND ST,12,0,0,2130.5,0.00482703866672
CLEVELAND ST,8,0,0,2127.25,0.00481967519539
E 149 ST,16,0,0,2126.5,0.00481797593278
WESTCHESTER SQ,16,0,0,2122.0,0.00480778035709
75 ST-ELDERTS,12,0,0,2121.0,0.0048055146736
AVENUE M,8,0,0,2118.5,0.00479985046489
UNION ST,20,0,0,2117.0,0.00479645193966
NORWOOD AV,12,0,0,2112.65625,0.00478661037702
AVENUE U,20,0,0,2111.0,0.00478285783875
SUTTER AV-RUTLD,4,0,0,2110.5,0.004781724997
85 ST-FOREST PK,12,0,0,2099.5,0.00475680247866
AQUEDUCT RACETR,20,0,0,2083.5,0.00472055154288
OCEAN PKWY,16,0,0,2082.0,0.00471715301765
FLUSHING AV,4,0,0,2081.75,0.00471658659678
BEACH 67 ST,16,0,0,2079.5,0.00471148880894
EAST BROADWAY,4,0,0,2075.5,0.004702426075
STEINWAY ST,4,0,0,2069.5,0.00468883197408
JEFFERSON ST,0,0,0,2068.5,0.00468656629059
BEACH 90 ST,16,0,0,2057.625,0.00466192698269
71 ST,16,0,0,2055.0,0.00465597956353
225 ST,16,0,0,2047.125,0.00463813730608
LONGWOOD AV,12,0,0,2044.75,0.0046327563078
9 AV,4,0,0,2042.375,0.00462737530953
ALLERTON AV,4,0,0,2041.75,0.00462595925735
UTICA AV,0,0,0,2030.1,0.00459956404474
FOREST HILLS 71,0,0,0,2025.875,0.00458999153201
174 ST,4,0,0,2015.375,0.00456620185541
KNICKERBOCKER,8,0,0,2011.75,0.00455798875277
KEW GARDENS,0,0,0,2011.25,0.00455685591103
BURKE AV,12,0,0,2010.875,0.00455600627972
20 AV,4,0,0,2009.75,0.0045534573858
VAN SICLEN AVE,12,0,0,2004.125,0.00454071291619
FOREST AVE,8,0,0,2002.375,0.00453674797009
GATES AV,20,0,0,1997.75,0.00452626918397
UNION ST,8,0,0,1993.0,0.00451550718741
5 AV/59 ST,0,0,0,1983.25,0.00449341677342
WOODLAWN,4,0,0,1979.0,0.00448378761861
BEACH 67 ST,12,0,0,1978.5,0.00448265477686
219 ST,12,0,0,1977.125,0.00447953946207
ROCKAWAY BLVD,20,0,0,1975.375,0.00447557451597
INTERVALE AV,12,0,0,1966.125,0.00445461694373
52 ST,4,0,0,1950.125,0.00441836600795
CENTRAL PK N110,4,0,0,1948.0,0.00441355143054
53 ST,4,0,0,1944.5,0.00440562153834
BURKE AV,8,0,0,1933.375,0.00438041580956
233 ST,4,0,0,1930.0,0.0043727691278
NORTHERN BLVD,4,0,0,1929.375,0.00437135307562
BUSHWICK AV,12,0,0,1928.25,0.0043688041817
SHEPHERD AV,12,0,0,1927.125,0.00436625528777
AVENUE P,8,0,0,1921.0,0.00435237797642
BAY RIDGE AV,20,0,0,1918.75,0.00434728018858
KNICKERBOCKER,16,0,0,1917.3125,0.00434402326857
BEVERLY RD,16,0,0,1911.5,0.00433085398331
VAN SICLEN AV,20,0,0,1907.0,0.00432065840762
OCEAN PKWY,8,0,0,1906.0,0.00431839272414
BAY 50 ST,8,0,0,1904.875,0.00431584383021
KINGSTON-THROOP,20,0,0,1902.5,0.00431046283193
FOREST AVE,12,0,0,1897.0,0.00429800157276
219 ST,8,0,0,1891.0,0.00428440747185
169 ST,20,0,0,1890.5,0.0042832746301
CYPRESS AV,8,0,0,1889.75874335,0.00428159517714
E 149 ST,4,0,0,1885.375,0.00427166300224
75 AV,12,0,0,1884.0,0.00426854768745
104 ST,12,0,0,1882.5,0.00426514916222
CHURCH AV,0,0,0,1875.375,0.00424900616738
RALPH AV,20,0,0,1871.625,0.00424050985431
MORGAN AV,0,0,0,1860.5,0.00421530412553
SHEPHERD AV,8,0,0,1859.625,0.00421332165248
EAST 105 ST,12,0,0,1855.125,0.00420312607679
JAMAICA VAN WK,16,0,0,1851.375,0.00419462976372
BUSHWICK AV,8,0,0,1848.5,0.0041881159237
CHAUNCEY ST,16,0,0,1837.875,0.00416404303666
CASTLE HILL AV,4,0,0,1837.5,0.00416319340535
191 ST,20,0,0,1837.0,0.00416206056361
VAN SICLEN AVE,8,0,0,1830.375,0.00414705041051
